gender,city,age,education,profession,annual_income
[ANY-GENDER],[Italy],[50-65],[ANY-EDUCATION],[ANY-JOB],24611
[ANY-GENDER],[Italy],[50-65],[ANY-EDUCATION],[ANY-JOB],52769
[ANY-GENDER],[Italy],[50-65],[ANY-EDUCATION],[ANY-JOB],37111
[ANY-GENDER],[Italy],[20-87],[ANY-EDUCATION],[ANY-JOB],43059
[ANY-GENDER],[Italy],[20-87],[ANY-EDUCATION],[ANY-JOB],31016
[ANY-GENDER],[Italy],[20-87],[ANY-EDUCATION],[ANY-JOB],81091
[ANY-GENDER],[Italy],[20-87],[ANY-EDUCATION],[ANY-JOB],105734
[ANY-GENDER],[Italy],[45-70],[ANY-EDUCATION],[ANY-JOB],26919
[ANY-GENDER],[Italy],[45-70],[ANY-EDUCATION],[ANY-JOB],46572
[ANY-GENDER],[Italy],[45-70],[ANY-EDUCATION],[ANY-JOB],83397
[ANY-GENDER],[North],[45-85],[ANY-EDUCATION],[ANY-JOB],49154
[ANY-GENDER],[North],[45-85],[ANY-EDUCATION],[ANY-JOB],32231
[ANY-GENDER],[North],[45-85],[ANY-EDUCATION],[ANY-JOB],29388
[ANY-GENDER],[Italy],[45-68],[ANY-EDUCATION],[ANY-JOB],35775
[ANY-GENDER],[Italy],[45-68],[ANY-EDUCATION],[ANY-JOB],47446
[ANY-GENDER],[Italy],[45-68],[ANY-EDUCATION],[ANY-JOB],49375
[ANY-GENDER],[Italy],[44-86],[ANY-EDUCATION],[ANY-JOB],23084
[ANY-GENDER],[Italy],[44-86],[ANY-EDUCATION],[ANY-JOB],40455
[ANY-GENDER],[Italy],[44-86],[ANY-EDUCATION],[ANY-JOB],83694
[ANY-GENDER],[Italy],[29-67],[ANY-EDUCATION],[ANY-JOB],25303
[ANY-GENDER],[Italy],[29-67],[ANY-EDUCATION],[ANY-JOB],52828
[ANY-GENDER],[Italy],[29-67],[ANY-EDUCATION],[ANY-JOB],42108
[ANY-GENDER],[South],[32-65],[ANY-EDUCATION],[ANY-JOB],39271
[ANY-GENDER],[South],[32-65],[ANY-EDUCATION],[ANY-JOB],28723
[ANY-GENDER],[South],[32-65],[ANY-EDUCATION],[ANY-JOB],20422
female,[Italy],[45-77],[ANY-EDUCATION],[ANY-JOB],55134
female,[Italy],[45-77],[ANY-EDUCATION],[ANY-JOB],56928
female,[Italy],[45-77],[ANY-EDUCATION],[ANY-JOB],23321
[ANY-GENDER],[Italy],[52-72],High School,[ANY-JOB],40449
[ANY-GENDER],[Italy],[52-72],High School,[ANY-JOB],33253
[ANY-GENDER],[Italy],[52-72],High School,[ANY-JOB],20848
[ANY-GENDER],[Italy],[48-69],[ANY-EDUCATION],[ANY-JOB],41935
[ANY-GENDER],[Italy],[48-69],[ANY-EDUCATION],[ANY-JOB],88568
[ANY-GENDER],[Italy],[48-69],[ANY-EDUCATION],[ANY-JOB],30940
female,[North],[18-56],[ANY-EDUCATION],[ANY-JOB],27004
female,[North],[18-56],[ANY-EDUCATION],[ANY-JOB],31061
female,[North],[18-56],[ANY-EDUCATION],[ANY-JOB],48062
male,[Italy],[31-62],[ANY-EDUCATION],[ANY-JOB],36678
male,[Italy],[31-62],[ANY-EDUCATION],[ANY-JOB],12952
male,[Italy],[31-62],[ANY-EDUCATION],[ANY-JOB],15782
female,[Italy],[20-59],High School,[ANY-JOB],23846
female,[Italy],[20-59],High School,[ANY-JOB],31740
female,[Italy],[20-59],High School,[ANY-JOB],27675
[ANY-GENDER],[Italy],[21-52],[ANY-EDUCATION],[ANY-JOB],31514
[ANY-GENDER],[Italy],[21-52],[ANY-EDUCATION],[ANY-JOB],41121
[ANY-GENDER],[Italy],[21-52],[ANY-EDUCATION],[ANY-JOB],35257
[ANY-GENDER],[Italy],[24-59],[ANY-EDUCATION],[ANY-JOB],45253
[ANY-GENDER],[Italy],[24-59],[ANY-EDUCATION],[ANY-JOB],22700
[ANY-GENDER],[Italy],[24-59],[ANY-EDUCATION],[ANY-JOB],34406
[ANY-GENDER],[Italy],[65-70],[ANY-EDUCATION],[ANY-JOB],31602
[ANY-GENDER],[Italy],[65-70],[ANY-EDUCATION],[ANY-JOB],46062
[ANY-GENDER],[Italy],[65-70],[ANY-EDUCATION],[ANY-JOB],27540
[ANY-GENDER],[Italy],[45-73],[ANY-EDUCATION],[ANY-JOB],34654
[ANY-GENDER],[Italy],[45-73],[ANY-EDUCATION],[ANY-JOB],47481
[ANY-GENDER],[Italy],[45-73],[ANY-EDUCATION],[ANY-JOB],35051
