gender,city,age,education,profession,annual_income
male,[South],[24-76],[ANY-EDUCATION],[ANY-JOB],24955
male,[South],[24-76],[ANY-EDUCATION],[ANY-JOB],34782
male,[South],[24-76],[ANY-EDUCATION],[ANY-JOB],20737
[ANY-GENDER],[Italy],[38-70],[ANY-EDUCATION],[ANY-JOB],48754
[ANY-GENDER],[Italy],[38-70],[ANY-EDUCATION],[ANY-JOB],41883
[ANY-GENDER],[Italy],[38-70],[ANY-EDUCATION],[ANY-JOB],45032
[ANY-GENDER],[Italy],[38-70],[ANY-EDUCATION],[ANY-JOB],41974
[ANY-GENDER],[Italy],[40-62],[ANY-EDUCATION],[ANY-JOB],28396
[ANY-GENDER],[Italy],[40-62],[ANY-EDUCATION],[ANY-JOB],26077
[ANY-GENDER],[Italy],[40-62],[ANY-EDUCATION],[ANY-JOB],45038
[ANY-GENDER],[Italy],[31-68],[ANY-EDUCATION],[ANY-JOB],28057
[ANY-GENDER],[Italy],[31-68],[ANY-EDUCATION],[ANY-JOB],52568
[ANY-GENDER],[Italy],[31-68],[ANY-EDUCATION],[ANY-JOB],40179
[ANY-GENDER],[Italy],[37-83],[ANY-EDUCATION],[ANY-JOB],39352
[ANY-GENDER],[Italy],[37-83],[ANY-EDUCATION],[ANY-JOB],39538
[ANY-GENDER],[Italy],[37-83],[ANY-EDUCATION],[ANY-JOB],26919
[ANY-GENDER],[Italy],[19-35],High School,[ANY-JOB],25059
[ANY-GENDER],[Italy],[19-35],High School,[ANY-JOB],33423
[ANY-GENDER],[Italy],[19-35],High School,[ANY-JOB],34018
[ANY-GENDER],[Italy],[31-89],[ANY-EDUCATION],[ANY-JOB],30912
[ANY-GENDER],[Italy],[31-89],[ANY-EDUCATION],[ANY-JOB],62164
[ANY-GENDER],[Italy],[31-89],[ANY-EDUCATION],[ANY-JOB],43605
female,[Italy],[24-68],High School,[ANY-JOB],26189
female,[Italy],[24-68],High School,[ANY-JOB],34859
female,[Italy],[24-68],High School,[ANY-JOB],33098
female,[Italy],[45-72],High School,[ANY-JOB],18862
female,[Italy],[45-72],High School,[ANY-JOB],27242
female,[Italy],[45-72],High School,[ANY-JOB],25658
[ANY-GENDER],[Italy],[34-70],[ANY-EDUCATION],[ANY-JOB],35990
[ANY-GENDER],[Italy],[34-70],[ANY-EDUCATION],[ANY-JOB],42737
[ANY-GENDER],[Italy],[34-70],[ANY-EDUCATION],[ANY-JOB],15828
[ANY-GENDER],[South],[30-48],[ANY-EDUCATION],[ANY-JOB],23519
[ANY-GENDER],[South],[30-48],[ANY-EDUCATION],[ANY-JOB],50702
[ANY-GENDER],[South],[30-48],[ANY-EDUCATION],[ANY-JOB],21531
female,[Italy],[44-76],[ANY-EDUCATION],[ANY-JOB],25324
female,[Italy],[44-76],[ANY-EDUCATION],[ANY-JOB],22772
female,[Italy],[44-76],[ANY-EDUCATION],[ANY-JOB],41242
[ANY-GENDER],[South],[43-83],[ANY-EDUCATION],[ANY-JOB],32393
[ANY-GENDER],[South],[43-83],[ANY-EDUCATION],[ANY-JOB],48313
[ANY-GENDER],[South],[43-83],[ANY-EDUCATION],[ANY-JOB],25671
male,[South],[20-68],[ANY-EDUCATION],[ANY-JOB],45053
male,[South],[20-68],[ANY-EDUCATION],[ANY-JOB],44545
male,[South],[20-68],[ANY-EDUCATION],[ANY-JOB],15431
[ANY-GENDER],[Italy],[23-77],[ANY-EDUCATION],[Engineering],46403
[ANY-GENDER],[Italy],[23-77],[ANY-EDUCATION],[Engineering],33470
[ANY-GENDER],[Italy],[23-77],[ANY-EDUCATION],[Engineering],41773
[ANY-GENDER],[Italy],[45-60],[ANY-EDUCATION],[ANY-JOB],56297
[ANY-GENDER],[Italy],[45-60],[ANY-EDUCATION],[ANY-JOB],49142
[ANY-GENDER],[Italy],[45-60],[ANY-EDUCATION],[ANY-JOB],43726
[ANY-GENDER],[Italy],[46-70],[ANY-EDUCATION],[ANY-JOB],27249
[ANY-GENDER],[Italy],[46-70],[ANY-EDUCATION],[ANY-JOB],46550
[ANY-GENDER],[Italy],[46-70],[ANY-EDUCATION],[ANY-JOB],32795
[ANY-GENDER],[Italy],[23-45],[ANY-EDUCATION],[ANY-JOB],22629
[ANY-GENDER],[Italy],[23-45],[ANY-EDUCATION],[ANY-JOB],28278
[ANY-GENDER],[Italy],[23-45],[ANY-EDUCATION],[ANY-JOB],30343
female,[Italy],[56-88],[ANY-EDUCATION],[ANY-JOB],28750
